player_id,player_name,midfielder_type,match_id,team_id,team_name,season,computed_at,bypasses_per_match,possessions_involved,possession_time_seconds,tempo_index,turnovers,passes_attempted,pass_completion_rate,progressive_passes,final_third_entries_by_pass,key_passes,under_pressure_pass_share,carries_attempted,progressive_carries,carry_distance_total,successful_dribbles,carries_leading_to_shot,carries_leading_to_key_pass,final_third_carries,penalty_area_carries,pressured_carry_success_rate,pressures_applied,ball_recoveries,interceptions,tackles_won,press_to_interception_chain,counterpress_actions,pressure_to_self_recovery,blocked_passes,blocked_shots,clearance_followed_by_recovery,pressures_to_turnover_rate,average_position_x,average_position_y,width_variance,zone_entries,pressured_touches,pressured_touch_retention_rate,third_man_runs,wall_pass_events,shot_creating_actions,expected_threat_added,fouls_committed,fouls_suffered,tactical_fouls,advantage_fouls_won,set_piece_involvements,corner_delivery_accuracy,set_piece_duels_won,defensive_set_piece_clearances,line_breaking_receipts,zone14_touches,penalty_area_deliveries,switches_completed,cross_accuracy,aerial_duels_contested,aerial_duel_win_rate,fifty_fiftys_won,sliding_tackles,sliding_tackle_success_rate,ball_receipts_total,central_lane_receipts,one_touch_passes,weak_foot_pass_share,pressured_retention_rate,secondary_shot_assists,expected_assists,xg_chain
4320,Neymar da Silva Santos Junior,5,265963,217,Barcelona,2014/2015,2025-12-13T18:45:03.125906,43,61.0,657.94,15.59,3.0,82.0,0.83,6.0,47.0,2.0,0.23,29.0,11.0,523.56,9.0,5.0,1.0,18.0,4.0,0.98,13.0,4.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,0.15,80.92,14.88,217.73,16.0,107.0,0.98,11.0,0.0,7.0,0.0,1.0,2.0,0.0,1.0,123.0,1.0,1.0,0.0,3.0,16.0,7.0,0.0,,0.0,0.0,0.0,2.0,1.0,99.0,4.0,35.0,0.18,0.98,5.0,0.04,1.07
5203,Sergio Busquets i Burgos,0,265963,217,Barcelona,2014/2015,2025-12-13T18:45:04.022417,43,32.0,269.84,18.46,0.0,48.0,0.96,16.0,13.0,1.0,0.08,3.0,0.0,48.87,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,61.59,40.92,232.92,33.0,12.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,,1.0,0.0,0.0,1.0,,42.0,9.0,16.0,0.09,1.0,0.0,0.07,0.6
5503,Lionel Andrés Messi Cuccittini,4,265963,217,Barcelona,2014/2015,2025-12-13T18:45:04.990676,43,57.0,350.95,22.23,3.0,70.0,0.87,11.0,42.0,4.0,0.23,11.0,5.0,138.95,3.0,9.0,5.0,9.0,8.0,0.97,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,86.04,55.78,357.03,42.0,76.0,0.99,13.0,0.0,9.0,0.0,1.0,5.0,0.0,3.0,81.0,1.0,0.0,0.0,1.0,43.0,10.0,2.0,0.33,1.0,0.0,0.0,0.0,,90.0,17.0,39.0,0.19,0.99,5.0,0.14,1.87
6998,Rafael Alcântara do Nascimento,1,265963,217,Barcelona,2014/2015,2025-12-13T18:45:05.888387,43,53.0,338.9,21.42,1.0,63.0,0.95,9.0,18.0,0.0,0.21,11.0,6.0,166.94,3.0,0.0,0.0,5.0,0.0,0.97,8.0,4.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.25,70.06,47.23,379.38,29.0,72.0,0.97,6.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,72.0,,0.0,1.0,3.0,30.0,1.0,1.0,,2.0,0.0,0.0,5.0,,60.0,8.0,11.0,0.2,0.97,0.0,,0.99
20131,Xavier Hernández Creus,1,265963,217,Barcelona,2014/2015,2025-12-13T18:45:06.782137,43,38.0,387.18,17.67,1.0,62.0,0.95,13.0,27.0,3.0,0.21,8.0,3.0,130.79,2.0,2.0,2.0,0.0,0.0,1.0,6.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,72.51,29.61,228.46,20.0,42.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,64.0,1.0,0.0,0.0,5.0,11.0,7.0,3.0,,0.0,0.0,0.0,0.0,,55.0,8.0,19.0,0.03,1.0,2.0,0.18,0.59
4320,Neymar da Silva Santos Junior,5,266045,217,Barcelona,2014/2015,2025-12-13T18:45:07.889758,54,71.0,331.81,18.44,4.0,47.0,0.72,12.0,32.0,3.0,0.17,16.0,9.0,284.14,2.0,3.0,2.0,11.0,4.0,0.95,19.0,7.0,2.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.16,78.65,21.44,195.21,23.0,54.0,0.96,19.0,0.0,8.0,0.0,3.0,3.0,0.0,1.0,128.0,,2.0,0.0,4.0,18.0,7.0,3.0,,2.0,0.0,0.0,4.0,0.75,63.0,7.0,13.0,0.12,0.96,4.0,0.33,1.27
5503,Lionel Andrés Messi Cuccittini,4,266045,217,Barcelona,2014/2015,2025-12-13T18:45:08.667127,54,53.0,332.74,15.51,9.0,36.0,0.58,16.0,26.0,1.0,0.36,13.0,8.0,237.81,2.0,5.0,1.0,10.0,11.0,0.88,9.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,82.42,50.35,281.48,41.0,63.0,0.92,16.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,120.0,,0.0,0.0,5.0,35.0,14.0,1.0,,0.0,0.0,0.0,1.0,,70.0,17.0,18.0,0.22,0.92,3.0,0.29,1.81
5506,Javier Alejandro Mascherano,0,266045,217,Barcelona,2014/2015,2025-12-13T18:45:09.445572,54,64.0,288.39,22.05,0.0,60.0,0.88,23.0,8.0,0.0,0.28,10.0,4.0,163.49,0.0,0.0,0.0,0.0,0.0,1.0,19.0,5.0,1.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,0.11,48.97,38.61,312.98,38.0,43.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,104.0,,0.0,2.0,2.0,3.0,1.0,2.0,,2.0,0.0,0.0,3.0,0.33,45.0,10.0,8.0,0.02,1.0,0.0,,1.23
6998,Rafael Alcântara do Nascimento,1,266045,217,Barcelona,2014/2015,2025-12-13T18:45:10.219913,54,50.0,313.69,18.55,2.0,47.0,0.91,4.0,13.0,0.0,0.23,10.0,6.0,191.12,0.0,0.0,0.0,3.0,0.0,0.95,18.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,66.96,56.57,246.06,11.0,54.0,0.96,4.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0,87.0,,0.0,1.0,5.0,9.0,1.0,1.0,,5.0,0.0,0.0,0.0,,52.0,3.0,14.0,0.22,0.96,0.0,,0.74
20131,Xavier Hernández Creus,1,266045,217,Barcelona,2014/2015,2025-12-13T18:45:10.993528,54,53.0,274.57,25.57,0.0,66.0,0.76,24.0,33.0,2.0,0.17,8.0,4.0,130.65,2.0,0.0,0.0,2.0,0.0,1.0,8.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.12,69.85,28.76,270.06,23.0,32.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,96.0,0.2,0.0,0.0,2.0,5.0,16.0,6.0,1.0,0.0,0.0,0.0,0.0,,51.0,7.0,19.0,0.06,1.0,1.0,0.1,1.69
